Restriction Type,Parking Spaces,Road Name,Postcode,Non-diesel Tariff,Diesel Tariff,Unique Identifier
paid-for,3.0,Abbey Road,NW6 4SL,3.84,4.65,46043537
paid-for,3.0,Abbey Road,NW6 4DL,3.84,4.65,46043543
paid-for,3.0,Adelaide Road,NW3 3RY,3.84,4.65,46047167
paid-for,2.0,Adelaide Road,NW3 3RY,3.84,4.65,46047166
paid-for,7.0,Adelaide Road,NW3 3HH,3.84,4.65,46045860
paid-for,3.0,Adelaide Road,NW3 3XX,3.84,4.65,46047165
paid-for,4.0,Agar Grove,NW1 9GP,3.84,4.65,46132420
paid-for,2.0,Agar Grove,NW1 9SY,3.84,4.65,46132422
paid-for / resident permit holders,10.0,Ajax Road,NW6 1DU,2.38,2.89,46044070
paid-for (buses),2.0,Albany Street,NW1 4DT,8.39,8.39,46047694
paid-for,4.0,Albert Street,NW1 7NR,4.83,5.87,46131624
paid-for / permit holders,4.0,Albert Street,NW1 7NE,4.83,5.87,46047840
paid-for / permit holders,9.0,Albert Street,NW1 7NB,4.83,5.87,46048135
paid-for,4.0,Albert Street,NW1 7RX,4.83,5.87,46131616
paid-for / resident permit holders,4.0,Albert Street,NW1 7NR,4.83,5.87,46131623
paid-for,2.0,Albert Street,NW1 7RP,4.83,5.87,46047543
paid-for,4.0,Aldenham Street,NW1 1AS,4.83,5.87,46049503
paid-for,5.0,Aldenham Street,NW1 1PS,4.83,5.87,46133900
paid-for,2.0,Aldred Road,NW6 1AE,2.38,2.89,46044040
paid-for / resident permit holders,8.0,Alexandra Place,NW8 0DY,3.84,4.65,46043445
paid-for,3.0,Alvanley Gardens,NW6 1JD,3.84,4.65,46133883
paid-for / resident permit holders,30.0,Alvanley Gardens,NW6 1JD,3.84,4.65,46044570
paid-for,22.0,Alvanley Gardens,NW3 6HJ,3.84,4.65,46133885
paid-for,3.0,Ampton Place,WC1X 0LZ,6.63,8.06,46043220
paid-for,2.0,Argyle Square,WC1H 8AL,6.63,8.06,46043211
paid-for,3.0,Argyle Square,WC1H 8AS,6.63,8.06,46043207
paid-for,5.0,Argyle Street,WC1H 8EJ,6.63,8.06,46043213
paid-for,3.0,Argyle Street,WC1H 8EE,6.63,8.06,46043206
paid-for,4.0,Arlington Road,NW1 7HD,4.83,5.87,46048181
paid-for,6.0,Arlington Road,NW1 7LL,4.83,5.87,46047754
paid-for,2.0,Arlington Road,NW1 7HT,4.83,5.87,46047749
paid-for,5.0,Arlington Road,NW1 7EX,4.83,5.87,46048134
paid-for,10.0,Arlington Road,NW1 7EX,4.83,5.87,46048140
paid-for,2.0,Arlington Road,NW1 7HL,4.83,5.87,46048178
paid-for,4.0,Arlington Road,NW1 7RD,4.83,5.87,46047755
paid-for / resident permit holders,2.0,Arlington Road,NW1 7HP,4.83,5.87,46127863
paid-for,4.0,Arlington Road,NW1 7HP,4.83,5.87,46048132
paid-for,3.0,Arlington Road,NW1 7HX,4.83,5.87,46047756
paid-for / resident permit holders,3.0,Arlington Road,NW1 7LG,4.83,5.87,46134349
paid-for,3.0,Arlington Road,NW1 7LD,4.83,5.87,46132871
paid-for,4.0,Arlington Road,NW1 7ES,4.83,5.87,46132873
paid-for,5.0,Augustus Street,NW1 3TH,4.83,5.87,46047647
paid-for,3.0,Augustus Street,NW1 3TH,4.83,5.87,46047649
paid-for,2.0,Back Hill,EC1R 5HT,6.63,8.06,46042823
paid-for,1.0,Bainbridge Street,WC1A 1HB,6.63,8.06,46036172
